@CNNBrasil twitterhandle
Claro claro
né né
! !
! !
Vcs vcs
mandaram mandar
o o
povo povo
ficar ficar
em em
casa casa
! !
Esqueceu esquecer
? ?
? ?
O o
Brasil brasil
acordou acordar
! !
! !
! !
Supremo supremo
é ser
o o
Povo povo
, ,
a o
Liberdade liberdade
, ,
a o
Fé fé
, ,
a o
Família família
. .
Deus deus
abençoe abençoar
o o
Brasil brasil
raising_hands_e raising_hands_e
flag_brazil_e flag_brazil_e
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#patria_h #patria_h
HASHTAG hashtag
#7desetpelaliberdade_h #7desetpelaliberdade_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
HASHTAG hashtag
#brasil_h #brasil_h
HASHTAG hashtag
#bolsonaroorgulhodobrasil_h #bolsonaroorgulhodobrasil_h
